Variable,Definition,Key,Tipo,Subtipo
survival,Survival,"0 = No, 1 = Yes",Qualitativa,Nominal
pclass,Ticket class,"1 = 1st, 2 = 2nd, 3 = 3rd",Qualitativa,Ordinal
sex,Sex,,Qualitativa,Nominal
Age,Age in years,,Quantitativa,Continua
sibsp,# of siblings / spouses aboard the Titanic,,Quantitativa,Discreta
parch,# of parents / children aboard the Titanic,,Quantitativa,Discreta
ticket,Ticket number,,Qualitativa,Nominal
fare,Passenger fare,,Quantitativa,Continua
cabin,Cabin number,,Qualitativa,Nominal
embarked,Port of Embarkation,"C = Cherbourg, Q = Queenstown, S = Southampton",Qualitativa,Nominal
